"编号";"位号";"封装";"数量";"名称";"供应商编号";
1;"D1";"LED_0402_1005Metric";1;"LED_RED";;;
2;"J3";"PinHeader_1x04_P1.27mm_Vertical";1;"Conn_01x04";;;
3;"R16,R7,R19,R9,R8";"R_0402_1005Metric";5;"100";;;
4;"C8,C9";"C_0402_1005Metric";2;"10pF";;;
5;"U2";"LQFP-48_7x7mm_P0.5mm";1;"STM32F103CBT6";;;
6;"D2";"LED_0402_1005Metric";1;"LED_GREEN";;;
7;"R14,R1,R15";"R_0402_1005Metric";3;"100K";;;
8;"Q1";"SOT-23";1;"S9013";;;
9;"R3,R2";"R_0402_1005Metric";2;"10";;;
10;"C2,C1";"C_0402_1005Metric";2;"1uF";;;
11;"R17,R5,R18";"R_0402_1005Metric";3;"10K";;;
12;"R4";"R_0402_1005Metric";1;"1.5K";;;
13;"R21,R20";"R_0402_1005Metric";2;"4K7";;;
14;"R10,R13,R12,R11";"R_0402_1005Metric";4;"22";;;
15;"J2";"PinHeader_2x05_P2.54mm_Horizontal";1;"Conn_02x05_Odd_Even";;;
16;"R6";"R_0402_1005Metric";1;"36K";;;
17;"U1";"SOT-23-3";1;"XC6206P332MR";;;
18;"C7,C5,C4,C6,C3";"C_0402_1005Metric";5;"100nF";;;
19;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
20;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"8M";;;
